time;ms;channel;data
14:37:03;514;801802;00 1D 20 2A EF BF BD 20 20 00 00 20 20 00 42 20 20 3A 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:03;671;800802;00 1D 20 2F EF BF BD 20 20 00 00 20 20 EF BF BD 52 20 20 58 20 20 20 20 20 20 20 20 20 20 20
14:37:03;673;801102;00 1D 20 15 EF BF BD 20 20 00 00 20 20 12 EF BF BD 20 20 0B 20 20 20 20 20 20 20 20 20 20 20
14:37:03;705;801502;00 1D 20 76 27 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 6F 20 20 20 20 20 20 20 20 20 20 20
14:37:03;755;801902;00 1D 20 4D 73 20 20 00 00 20 20 EF BF BD 56 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:03;774;801102;00 1D 20 4F 45 20 20 00 00 20 20 EF BF BD 54 20 20 EF BF BD 20 20 20 20 20 20 20 20 20 20 20
14:37:03;774;801502;00 1D 20 EF BF BD 30 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 EF BF BD 20 20 20 20 20 20 20
14:37:03;774;801802;00 1D 20 0E 45 20 20 00 00 20 20 5C 09 20 20 74 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
14:37:03;775;800402;00 1D 20 0F 1F 20 20 00 00 20 20 51 14 20 20 3E 20 20 20 20 20 20 20 20 20 20 20 20 20 20 03
14:37:03;806;800802;00 1D 20 08 EF BF BD 20 20 00 00 20 20 2B 50 20 20 1D 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:03;822;801902;00 1D 20 EF BF BD 30 20 20 00 00 20 20 3C 2B 20 20 7A 20 20 20 20 20 20 20 20 20 20 20 20 20
14:37:03;836;801102;00 1D 20 EF BF BD 44 20 20 00 00 20 20 EF BF BD EF BF BD 20 20 10 20 20 20 20 20 20 20 20 20
14:37:03;887;800402;00 1D 20 6E EF BF BD 20 20 00 00 20 20 EF BF BD 6A 20 20 02 20 20 20 20 20 20 20 20 20 20 20
